Region 2018,Catchment Name,LAWA Catchment Identifier,Detailed Category,Area 1996 (ha),Area 2001 (ha),Area 2008 (ha),Area 2012 (ha),Area 2018 (ha),Area as % of Catchment Area 1996 (%),Area as % of Catchment Area 2001 (%),Area as % of Catchment Area 2008 (%),Area as % of Catchment Area 2012 (%),Area as % of Catchment Area 2018 (%),Area change: 2018 area minus 1996 area (ha),Area change as a % of 1996 area (%),Created
Auckland Region,Anns Creek,1003115,Catchment Area,113.7,113.7,113.7,113.7,113.7,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Anns Creek,1003115,Built-up Area (settlement),73.2,75.2,75.2,75.2,75.2,64.3,66.1,66.1,66.1,66.1,2.1,2.8,08/26/2025 16:12:47
Auckland Region,Anns Creek,1003115,Urban Parkland/Open Space,36.0,33.9,31.7,29.3,29.3,31.6,29.8,27.9,25.8,25.8,-6.7,-18.6,08/26/2025 16:12:47
Auckland Region,Anns Creek,1003115,Broadleaved Indigenous Hardwoods,4.3,4.3,6.6,8.9,8.9,3.8,3.8,5.8,7.9,7.9,4.6,106.4,08/26/2025 16:12:47
Auckland Region,Anns Creek,1003115,Mangrove,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Catchment Area,2611.0,2611.0,2611.0,2611.0,2611.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,High Producing Exotic Grassland,1118.1,1061.8,1052.0,1052.8,1052.8,42.8,40.7,40.3,40.3,40.3,-65.3,-5.8,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Indigenous Forest,615.4,615.4,615.4,615.4,614.3,23.6,23.6,23.6,23.6,23.5,-1.1,-0.2,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Exotic Forest,556.4,574.8,584.2,583.4,576.7,21.3,22.0,22.4,22.3,22.1,20.3,3.6,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Manuka and/or Kanuka,168.2,198.6,198.6,200.5,198.0,6.4,7.6,7.6,7.7,7.6,29.8,17.7,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Broadleaved Indigenous Hardwoods,142.8,142.8,150.7,150.7,150.7,5.5,5.5,5.8,5.8,5.8,7.9,5.5,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Forest - Harvested,,7.5,,,7.8,,0.3,,,0.3,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,"Orchard, Vineyard or Other Perennial Crop",7.0,7.0,7.0,7.0,7.0,0.3,0.3,0.3,0.3,0.3,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Low Producing Grassland,1.9,1.9,1.9,,2.5,0.1,0.1,0.1,,0.1,0.7,35.1,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Surface Mine or Dump,1.3,1.3,1.3,1.3,1.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Avondale,1176,Catchment Area,1226.1,1226.1,1226.1,1226.1,1226.1,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Avondale,1176,Built-up Area (settlement),960.2,966.1,966.1,969.0,969.0,78.3,78.8,78.8,79.0,79.0,8.8,0.9,08/26/2025 16:12:47
Auckland Region,Avondale,1176,Urban Parkland/Open Space,166.6,160.7,160.7,160.7,160.7,13.6,13.1,13.1,13.1,13.1,-5.9,-3.5,08/26/2025 16:12:47
Auckland Region,Avondale,1176,Manuka and/or Kanuka,43.3,43.3,43.3,40.4,40.4,3.5,3.5,3.5,3.3,3.3,-2.9,-6.7,08/26/2025 16:12:47
Auckland Region,Avondale,1176,Indigenous Forest,29.6,29.6,29.6,29.6,29.6,2.4,2.4,2.4,2.4,2.4,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Avondale,1176,Exotic Forest,13.2,13.2,13.2,13.2,13.2,1.1,1.1,1.1,1.1,1.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Avondale,1176,Broadleaved Indigenous Hardwoods,8.7,8.7,8.7,8.7,8.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Avondale,1176,Mangrove,4.5,4.5,4.5,4.5,4.5,0.4,0.4,0.4,0.4,0.4,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Catchment Area,6647.6,6647.6,6647.6,6647.6,6647.6,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Indigenous Forest,3191.1,3188.1,3185.5,3183.1,3183.1,48.0,48.0,47.9,47.9,47.9,-8.1,-0.3,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,High Producing Exotic Grassland,1320.7,1322.9,1326.1,1331.7,1331.7,19.9,19.9,20.0,20.0,20.0,11.0,0.8,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Manuka and/or Kanuka,1330.0,1319.9,1314.6,1309.0,1309.0,20.0,19.9,19.8,19.7,19.7,-21.0,-1.6,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Broadleaved Indigenous Hardwoods,229.6,229.4,229.4,229.4,229.4,3.5,3.5,3.5,3.5,3.5,-0.2,-0.1,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Exotic Forest,199.6,204.1,180.9,180.5,142.6,3.0,3.1,2.7,2.7,2.1,-57.1,-28.6,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Herbaceous Freshwater Vegetation,143.7,143.7,137.8,137.8,137.8,2.2,2.2,2.1,2.1,2.1,-5.9,-4.1,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Sand or Gravel,57.7,57.7,57.7,57.7,57.7,0.9,0.9,0.9,0.9,0.9,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Lake or Pond,48.9,48.9,54.8,54.8,54.8,0.7,0.7,0.8,0.8,0.8,5.9,12.1,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Urban Parkland/Open Space,47.5,47.5,47.5,47.5,47.5,0.7,0.7,0.7,0.7,0.7,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Low Producing Grassland,17.9,21.6,22.0,45.2,45.2,0.3,0.3,0.3,0.7,0.7,27.2,152.0,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Forest - Harvested,,,23.2,,37.9,,,0.4,,0.6,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Deciduous Hardwoods,31.4,31.4,31.4,31.4,31.4,0.5,0.5,0.5,0.5,0.5,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Surface Mine or Dump,10.5,13.6,16.1,18.6,18.6,0.2,0.2,0.2,0.3,0.3,8.1,76.5,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Built-up Area (settlement),10.1,10.1,10.1,10.5,10.5,0.2,0.2,0.2,0.2,0.2,0.4,3.8,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Gorse and/or Broom,3.4,3.4,5.2,5.2,5.2,0.1,0.1,0.1,0.1,0.1,1.7,50.2,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,"Orchard, Vineyard or Other Perennial Crop",5.2,5.2,5.2,5.2,5.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Cascade Stream,515,Twelve-mile NZ territorial limit (Marine),0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Castor Bay,1003112,Catchment Area,78.1,78.1,78.1,78.1,78.1,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Castor Bay,1003112,Built-up Area (settlement),61.6,61.6,63.0,63.0,63.0,78.8,78.8,80.6,80.6,80.6,1.4,2.3,08/26/2025 16:12:47
Auckland Region,Castor Bay,1003112,Broadleaved Indigenous Hardwoods,6.8,6.8,6.8,6.8,6.8,8.7,8.7,8.7,8.7,8.7,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Castor Bay,1003112,Urban Parkland/Open Space,6.2,6.2,4.8,4.8,4.8,7.9,7.9,6.1,6.1,6.1,-1.4,-22.7,08/26/2025 16:12:47
Auckland Region,Castor Bay,1003112,Twelve-mile NZ territorial limit (Marine),3.6,3.6,3.6,3.6,3.6,4.6,4.6,4.6,4.6,4.6,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,Catchment Area,794.9,794.9,794.9,794.9,794.9,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,High Producing Exotic Grassland,715.9,714.4,677.9,677.9,677.9,90.1,89.9,85.3,85.3,85.3,-37.9,-5.3,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,"Orchard, Vineyard or Other Perennial Crop",11.0,11.8,48.3,48.3,48.3,1.4,1.5,6.1,6.1,6.1,37.3,340.7,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,Indigenous Forest,35.0,35.0,35.0,35.0,35.0,4.4,4.4,4.4,4.4,4.4,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,Exotic Forest,17.1,17.1,17.1,17.1,17.1,2.2,2.2,2.2,2.2,2.2,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,Manuka and/or Kanuka,9.0,9.0,9.0,9.0,9.0,1.1,1.1,1.1,1.1,1.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,Mangrove,2.4,2.4,2.4,2.4,2.4,0.3,0.3,0.3,0.3,0.3,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,Mixed Exotic Shrubland,2.4,2.4,2.4,2.4,2.4,0.3,0.3,0.3,0.3,0.3,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,Lake or Pond,1.4,2.0,2.0,2.0,2.0,0.2,0.3,0.3,0.3,0.3,0.6,43.8,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,Broadleaved Indigenous Hardwoods,0.7,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duck Creek,1528,Surface Mine or Dump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duders Stream,1003095,Catchment Area,52.3,52.3,52.3,52.3,52.3,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duders Stream,1003095,High Producing Exotic Grassland,45.9,45.9,43.9,43.9,43.9,87.7,87.7,84.0,84.0,84.0,-2.0,-4.3,08/26/2025 16:12:47
Auckland Region,Duders Stream,1003095,Indigenous Forest,4.6,4.6,4.6,4.6,4.6,8.7,8.7,8.7,8.7,8.7,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duders Stream,1003095,Broadleaved Indigenous Hardwoods,,,2.0,2.0,2.0,,,3.8,3.8,3.8,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duders Stream,1003095,Deciduous Hardwoods,1.8,1.8,1.8,1.8,1.8,3.4,3.4,3.4,3.4,3.4,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duders Stream,1003095,Sand or Gravel,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duders Stream,1003095,Twelve-mile NZ territorial limit (Marine),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Duders Stream,1003095,Herbaceous Saline Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Dyers Creek North,1571,Catchment Area,744.4,744.4,744.4,744.4,744.4,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Dyers Creek North,1571,High Producing Exotic Grassland,383.6,382.4,382.4,380.8,380.8,51.5,51.4,51.4,51.2,51.2,-2.8,-0.7,08/26/2025 16:12:47
Auckland Region,Dyers Creek North,1571,Indigenous Forest,305.6,305.6,305.6,305.6,305.6,41.1,41.1,41.1,41.1,41.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Dyers Creek North,1571,Exotic Forest,38.5,38.6,39.7,47.4,47.4,5.2,5.2,5.3,6.4,6.4,8.9,23.0,08/26/2025 16:12:47
Auckland Region,Dyers Creek North,1571,Broadleaved Indigenous Hardwoods,0.1,0.1,8.6,8.6,8.6,0.0,0.0,1.2,1.2,1.2,8.5,8841.0,08/26/2025 16:12:47
Auckland Region,Dyers Creek North,1571,Manuka and/or Kanuka,1.4,1.4,1.4,1.4,1.4,0.2,0.2,0.2,0.2,0.2,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Dyers Creek North,1571,Low Producing Grassland,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Dyers Creek North,1571,Mangrove,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Edgars Creek,1003110,Catchment Area,71.3,71.3,71.3,71.3,71.3,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Edgars Creek,1003110,Built-up Area (settlement),66.2,66.2,66.2,66.2,66.2,92.9,92.9,92.9,92.9,92.9,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Edgars Creek,1003110,Urban Parkland/Open Space,5.1,5.1,5.1,5.1,5.1,7.2,7.2,7.2,7.2,7.2,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glen Esk Stream,1197,Catchment Area,1254.9,1254.9,1254.9,1254.9,1254.9,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glen Esk Stream,1197,Indigenous Forest,1174.8,1174.8,1174.8,1174.8,1174.8,93.6,93.6,93.6,93.6,93.6,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glen Esk Stream,1197,Built-up Area (settlement),32.3,32.3,32.3,32.3,32.3,2.6,2.6,2.6,2.6,2.6,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glen Esk Stream,1197,High Producing Exotic Grassland,25.7,25.7,25.7,25.7,25.7,2.0,2.0,2.0,2.0,2.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glen Esk Stream,1197,Manuka and/or Kanuka,20.7,20.7,20.7,20.7,20.7,1.7,1.7,1.7,1.7,1.7,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glen Esk Stream,1197,Sand or Gravel,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glen Esk Stream,1197,Low Producing Grassland,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glen Esk Stream,1197,Twelve-mile NZ territorial limit (Marine),0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glendowie Stream,1004014,Catchment Area,266.9,266.9,266.9,266.9,266.9,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glendowie Stream,1004014,Built-up Area (settlement),173.1,173.1,178.5,178.5,178.5,64.9,64.9,66.9,66.9,66.9,5.4,3.1,08/26/2025 16:12:47
Auckland Region,Glendowie Stream,1004014,Urban Parkland/Open Space,86.2,86.2,80.7,80.7,80.7,32.3,32.3,30.3,30.3,30.3,-5.4,-6.3,08/26/2025 16:12:47
Auckland Region,Glendowie Stream,1004014,Indigenous Forest,7.6,7.6,7.6,7.6,7.6,2.9,2.9,2.9,2.9,2.9,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Glendowie Stream,1004014,Twelve-mile NZ territorial limit (Marine),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hakaru River,436,Catchment Area,33.3,33.3,33.3,33.3,33.3,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hakaru River,436,High Producing Exotic Grassland,28.7,28.7,28.4,28.4,28.4,86.3,86.3,85.2,85.2,85.2,-0.4,-1.3,08/26/2025 16:12:47
Auckland Region,Hakaru River,436,Indigenous Forest,3.7,3.7,3.7,3.7,3.7,11.1,11.1,11.1,11.1,11.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hakaru River,436,Exotic Forest,0.5,0.9,1.2,1.2,1.2,1.6,2.6,3.7,3.7,3.7,0.7,126.1,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Catchment Area,35735.7,35735.7,35735.7,35735.7,35735.7,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hoteo,228,High Producing Exotic Grassland,20995.4,20480.8,20386.9,20446.9,20447.3,58.8,57.3,57.1,57.2,57.2,-548.1,-2.6,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Exotic Forest,6540.8,6137.5,7038.7,7573.8,7453.8,18.3,17.2,19.7,21.2,20.9,913.0,14.0,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Indigenous Forest,4801.9,4785.3,4785.3,4785.3,4783.2,13.4,13.4,13.4,13.4,13.4,-18.7,-0.4,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Manuka and/or Kanuka,1407.9,1432.2,1450.1,1451.7,1451.7,3.9,4.0,4.1,4.1,4.1,43.8,3.1,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Broadleaved Indigenous Hardwoods,863.8,863.2,893.4,920.4,920.4,2.4,2.4,2.5,2.6,2.6,56.6,6.6,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Forest - Harvested,28.1,1667.7,811.6,153.4,227.6,0.1,4.7,2.3,0.4,0.6,199.5,710.5,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Estuarine Open Water,70.6,70.6,70.6,70.6,70.6,0.2,0.2,0.2,0.2,0.2,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Low Producing Grassland,760.3,30.8,25.5,22.0,67.1,2.1,0.1,0.1,0.1,0.2,-693.2,-91.2,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Gorse and/or Broom,80.5,65.8,49.2,72.5,66.0,0.2,0.2,0.1,0.2,0.2,-14.5,-18.0,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Built-up Area (settlement),56.7,56.7,56.7,56.7,56.7,0.2,0.2,0.2,0.2,0.2,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Surface Mine or Dump,20.7,20.7,27.2,33.5,42.3,0.1,0.1,0.1,0.1,0.1,21.6,104.5,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Urban Parkland/Open Space,36.2,36.2,36.2,36.2,36.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hoteo,228,"Orchard, Vineyard or Other Perennial Crop",4.9,20.5,34.6,34.6,34.6,0.0,0.1,0.1,0.1,0.1,29.7,602.6,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Lake or Pond,25.6,25.6,26.7,26.7,26.7,0.1,0.1,0.1,0.1,0.1,1.1,4.3,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Mangrove,17.1,17.1,17.1,17.1,17.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Deciduous Hardwoods,12.3,12.3,13.1,13.1,13.1,0.0,0.0,0.0,0.0,0.0,0.8,6.4,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Mixed Exotic Shrubland,1.0,1.0,1.0,9.4,9.4,0.0,0.0,0.0,0.0,0.0,8.4,833.2,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Transport Infrastructure,7.8,7.8,7.8,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Short-rotation Cropland,2.9,2.9,2.9,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Hoteo,228,Flaxland,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Catchment Area,26627.0,26627.0,26627.0,26627.0,26627.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,High Producing Exotic Grassland,17487.0,17224.3,17104.3,17129.0,17004.8,65.7,64.7,64.2,64.3,63.9,-482.2,-2.8,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Exotic Forest,4233.4,4263.1,4771.5,4803.4,4375.4,15.9,16.0,17.9,18.0,16.4,142.0,3.4,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Manuka and/or Kanuka,1733.3,1748.4,1748.4,1748.4,1748.4,6.5,6.6,6.6,6.6,6.6,15.1,0.9,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Built-up Area (settlement),416.3,461.6,497.4,503.6,667.2,1.6,1.7,1.9,1.9,2.5,250.9,60.3,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Indigenous Forest,588.7,588.7,588.7,588.7,588.3,2.2,2.2,2.2,2.2,2.2,-0.4,-0.1,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Short-rotation Cropland,555.6,554.6,584.7,584.7,579.3,2.1,2.1,2.2,2.2,2.2,23.7,4.3,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,"Orchard, Vineyard or Other Perennial Crop",486.7,486.1,511.7,513.1,511.0,1.8,1.8,1.9,1.9,1.9,24.2,5.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Forest - Harvested,446.8,639.1,153.4,76.1,475.7,1.7,2.4,0.6,0.3,1.8,28.9,6.5,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Broadleaved Indigenous Hardwoods,311.6,279.6,279.6,283.0,283.0,1.2,1.1,1.1,1.1,1.1,-28.6,-9.2,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,River,85.6,85.6,85.6,85.6,85.6,0.3,0.3,0.3,0.3,0.3,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Urban Parkland/Open Space,84.3,87.9,87.3,87.3,81.4,0.3,0.3,0.3,0.3,0.3,-3.0,-3.5,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Gorse and/or Broom,27.7,35.4,40.9,52.2,55.2,0.1,0.1,0.2,0.2,0.2,27.5,99.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Mixed Exotic Shrubland,30.8,30.8,30.8,30.8,30.8,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Deciduous Hardwoods,28.5,28.5,29.3,29.3,29.3,0.1,0.1,0.1,0.1,0.1,0.8,2.8,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Mangrove,28.8,28.8,28.8,28.8,28.8,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Herbaceous Saline Vegetation,27.3,27.3,27.3,27.3,27.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Lake or Pond,16.2,16.2,16.2,16.2,16.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Herbaceous Freshwater Vegetation,15.2,15.2,15.2,15.2,15.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Surface Mine or Dump,11.2,11.2,11.2,12.3,12.3,0.0,0.0,0.0,0.1,0.1,1.1,9.4,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Low Producing Grassland,10.0,10.0,10.0,7.1,7.1,0.0,0.0,0.0,0.0,0.0,-2.9,-29.0,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Transport Infrastructure,1.6,4.4,4.4,4.4,4.4,0.0,0.0,0.0,0.0,0.0,2.8,173.3,08/26/2025 16:12:47
Auckland Region,Kaipara River,272,Twelve-mile NZ territorial limit (Marine),0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipatiki Creek,2038,Catchment Area,439.9,439.9,439.9,439.9,439.9,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipatiki Creek,2038,Built-up Area (settlement),267.1,267.1,267.1,267.1,267.1,60.7,60.7,60.7,60.7,60.7,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipatiki Creek,2038,Indigenous Forest,140.4,140.4,140.4,140.4,140.4,31.9,31.9,31.9,31.9,31.9,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipatiki Creek,2038,Urban Parkland/Open Space,30.7,30.7,30.7,30.7,30.7,7.0,7.0,7.0,7.0,7.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipatiki Creek,2038,Broadleaved Indigenous Hardwoods,1.6,1.6,1.6,1.6,1.6,0.4,0.4,0.4,0.4,0.4,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaipatiki Creek,2038,Mangrove,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaitoke Creek,10004,Catchment Area,2766.4,2766.4,2766.4,2766.4,2766.4,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaitoke Creek,10004,Manuka and/or Kanuka,1669.7,1669.7,1666.1,1666.1,1678.4,60.4,60.4,60.2,60.2,60.7,8.7,0.5,08/26/2025 16:12:47
Auckland Region,Kaitoke Creek,10004,Indigenous Forest,684.7,684.7,684.7,684.7,684.7,24.8,24.8,24.8,24.8,24.8,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaitoke Creek,10004,Herbaceous Freshwater Vegetation,229.2,229.2,229.2,229.2,229.2,8.3,8.3,8.3,8.3,8.3,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaitoke Creek,10004,Broadleaved Indigenous Hardwoods,71.4,71.4,71.4,71.4,71.4,2.6,2.6,2.6,2.6,2.6,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaitoke Creek,10004,Exotic Forest,64.7,64.7,62.0,62.0,49.6,2.3,2.3,2.2,2.2,1.8,-15.0,-23.2,08/26/2025 16:12:47
Auckland Region,Kaitoke Creek,10004,High Producing Exotic Grassland,36.1,36.1,39.7,39.7,39.7,1.3,1.3,1.4,1.4,1.4,3.6,10.0,08/26/2025 16:12:47
Auckland Region,Kaitoke Creek,10004,River,5.7,5.7,5.7,5.7,5.7,0.2,0.2,0.2,0.2,0.2,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Kaitoke Creek,10004,Low Producing Grassland,1.6,1.6,4.3,4.3,4.3,0.1,0.1,0.2,0.2,0.2,2.7,167.0,08/26/2025 16:12:47
